train_hv,valid_hv,test_hv,time
0.29764954060310156,0.3006072130234397,0.2933062030594973,0.5426383495330811
0.466048085794556,0.4589241501563605,0.40903079675299675,2.4880857944488524
0.5133885743168045,0.49710485901341983,0.46856118220293297,4.422125959396363
0.5497019923059907,0.5264254716260115,0.49803526419463695,6.3569958209991455
0.5781663953055558,0.5503049737533166,0.5278297853399789,8.322892332077027
0.5970854775337235,0.5665721203805962,0.5497939964228375,10.266478538513184
0.6096366790732646,0.5777341750754534,0.5616764095634951,12.389649486541748
0.6186304485312532,0.5847311281354847,0.5707630220919977,14.655857133865357
0.6246504824655823,0.5897654830524957,0.5763407242762745,17.023489713668823
0.6291147874705552,0.5931533214361913,0.580214474032706,19.44905400276184
0.6327498834685057,0.5955961418084013,0.5838030280636388,22.04658122062683
0.6357027650334762,0.5972666440161924,0.5856678742747189,24.580925607681273
0.638174589162641,0.597984356498334,0.5875976113496417,27.163233089447022
0.6402015079094278,0.5989469101268016,0.5884972473572617,29.607381439208986
0.6419380096321147,0.5993614241586381,0.589329270674429,32.237160730361936
0.6433289151385007,0.6000591894301947,0.5906507015849223,34.92723555564881
0.6445532169193695,0.6005692894283298,0.59110046058836,37.77243413925171
0.6456230558229473,0.601043052394891,0.5914330580101053,40.45836715698242
0.6464565702894522,0.6012240541809418,0.5916373430412155,43.07103762626648
0.6472065073201912,0.6012534756841713,0.5916505672693225,45.70796136856079
0.647874602202742,0.6014505631351948,0.59179364071895,48.30945057868958
0.6484052600116306,0.6017488386041856,0.5923237578599942,50.79712572097778
0.6488216424184602,0.6017822676726483,0.5927560163497999,53.43613004684448
0.6492109434408565,0.6018681694860799,0.5927794982149102,56.07756757736206
0.6495700603370207,0.6019914667534705,0.5929237358825029,58.652343940734866
0.64991223307229,0.6022108986792755,0.5929740392580007,61.17445178031922
0.6502447106384391,0.6023556489681148,0.5929743315942932,63.58374147415161
0.6505263789587475,0.6026121014740256,0.5929205094320137,66.0577163219452
0.6507575254593959,0.6029284105548911,0.5932662047032831,68.45712881088257
0.6508941342897958,0.6029034674462915,0.5932851287982245,70.88998651504517
0.6510019859132379,0.6028700369351849,0.5932883918766337,73.30393071174622
0.6510987280247966,0.6028725566228778,0.5933067855499321,75.6534613609314
0.6511874158565722,0.6028740711131197,0.5933310688936551,77.9407557964325
0.6512688164767833,0.6028936787630498,0.5933312909001064,80.22458186149598
0.6513385862710748,0.6029213867343424,0.5933300233366674,82.46270699501038
0.6514034319442178,0.602888167710374,0.5936208033474195,84.70845618247986
0.6514630177016194,0.6028862067313,0.5936099801659369,86.86471552848816
0.6515146074374631,0.602812533581409,0.5936501902114681,89.02304916381836
0.6515602641826004,0.6029161929635629,0.5936708349703498,91.17161998748779
0.6516004780529114,0.6029358557485153,0.59372400365052,93.25817794799805
